sample_id,file,pair_id,mate
MT_A72_2,../input/demux/TS_SN_011/HNJJFDRXX/L001/TS_SN_011_S11_L001_R1_001.fastq.gz,TS_SN_011_21,1
MT_A72_2,../input/demux/TS_SN_011/HNJJFDRXX/L001/TS_SN_011_S11_L001_R2_001.fastq.gz,TS_SN_011_21,2
MT_A72_2,../input/demux/TS_SN_011/HNJJFDRXX/L002/TS_SN_011_S11_L002_R1_001.fastq.gz,TS_SN_011_22,1
MT_A72_2,../input/demux/TS_SN_011/HNJJFDRXX/L002/TS_SN_011_S11_L002_R2_001.fastq.gz,TS_SN_011_22,2
MT_Ctrl72_2,../input/demux/TS_SN_012/HNJJFDRXX/L001/TS_SN_012_S12_L001_R1_001.fastq.gz,TS_SN_012_23,1
MT_Ctrl72_2,../input/demux/TS_SN_012/HNJJFDRXX/L001/TS_SN_012_S12_L001_R2_001.fastq.gz,TS_SN_012_23,2
MT_Ctrl72_2,../input/demux/TS_SN_012/HNJJFDRXX/L002/TS_SN_012_S12_L002_R1_001.fastq.gz,TS_SN_012_24,1
MT_Ctrl72_2,../input/demux/TS_SN_012/HNJJFDRXX/L002/TS_SN_012_S12_L002_R2_001.fastq.gz,TS_SN_012_24,2
MB_3,../input/demux/TS_SN_013/HNJJFDRXX/L001/TS_SN_013_S13_L001_R1_001.fastq.gz,TS_SN_013_25,1
MB_3,../input/demux/TS_SN_013/HNJJFDRXX/L001/TS_SN_013_S13_L001_R2_001.fastq.gz,TS_SN_013_25,2
MB_3,../input/demux/TS_SN_013/HNJJFDRXX/L002/TS_SN_013_S13_L002_R1_001.fastq.gz,TS_SN_013_26,1
MB_3,../input/demux/TS_SN_013/HNJJFDRXX/L002/TS_SN_013_S13_L002_R2_001.fastq.gz,TS_SN_013_26,2
MT_3,../input/demux/TS_SN_014/HNJJFDRXX/L001/TS_SN_014_S14_L001_R1_001.fastq.gz,TS_SN_014_27,1
MT_3,../input/demux/TS_SN_014/HNJJFDRXX/L001/TS_SN_014_S14_L001_R2_001.fastq.gz,TS_SN_014_27,2
MT_3,../input/demux/TS_SN_014/HNJJFDRXX/L002/TS_SN_014_S14_L002_R1_001.fastq.gz,TS_SN_014_28,1
MT_3,../input/demux/TS_SN_014/HNJJFDRXX/L002/TS_SN_014_S14_L002_R2_001.fastq.gz,TS_SN_014_28,2
MT_A24_3,../input/demux/TS_SN_015/HNJJFDRXX/L001/TS_SN_015_S15_L001_R1_001.fastq.gz,TS_SN_015_29,1
MT_A24_3,../input/demux/TS_SN_015/HNJJFDRXX/L001/TS_SN_015_S15_L001_R2_001.fastq.gz,TS_SN_015_29,2
MT_A24_3,../input/demux/TS_SN_015/HNJJFDRXX/L002/TS_SN_015_S15_L002_R1_001.fastq.gz,TS_SN_015_30,1
